,numOccurrences
numWords,-0.07345728823766282
numOccurrences,1.0
averageWordLength,-0.03586497524565675
largestWordLength,-0.06805584981148385
numOfPunctuation,-0.056432516584155684
numRepeatedWords,-0.06793315648279062
lgNumOcc,0.9282111036270354
lgWords,-0.06761133788653713
lg_averageWordLength,-0.036352135941918315
lg_largestWordLength,-0.08529668454120908
